pais,anio,mes,formato,archivo,revision,nombre_original
Alemania,2025,1,DOCX,infoinve-alemania-2025-01.docx,0,INFOINVE Alemania enero de 2025.docx
Alemania,2025,7,DOCX,infoinve-alemania-2025-07.docx,0,INFOINVE Alemania julio de 2025.docx
Alemania,2025,9,DOCX,infoinve-alemania-2025-09.docx,0,INFOINVE Alemania septiembre de 2025.docx
Andorra,2025,11,DOCX,infoinve-andorra-2025-11.docx,0,INFOINVE Andorra noviembre de 2025.docx
Arabia Saudita,2025,1,DOCX,infoinve-arabia-saudita-2025-01.docx,0,INFOINVE Arabia enero de 2025.docx
Arabia Saudita,2025,11,DOCX,infoinve-arabia-saudita-2025-11.docx,0,INFOINVE Arabia noviembre de 2025.docx
Armenia,2025,1,DOCX,infoinve-armenia-2025-01.docx,0,INFOINVE  Armenia enero de 2025.docx
Armenia,2025,5,DOCX,infoinve-armenia-2025-05.docx,0,INFOINVE  Armenia mayo de 2025.docx
Armenia,2025,8,DOCX,infoinve-armenia-2025-08.docx,0,INFOINVE Armenia agosto de 2025.docx
Austria,2025,1,DOCX,infoinve-austria-2025-01.docx,0,INFOINVE Austria enero de 2025.docx
Azerbaiyan,2025,8,DOCX,infoinve-azerbaiyan-2025-08.docx,0,INFOINVE Azerbaiyán agosto 2025.docx
Bangladesh,2025,1,DOCX,infoinve-bangladesh-2025-01.docx,0,INFOINVE Bangladesh enero de 2025.docx
Belgica,2025,1,DOCX,infoinve-belgica-2025-01.docx,0,INFOINVE Bélgica enero de 2025.docx
Belgica,2025,10,DOCX,infoinve-belgica-2025-10.docx,0,INFOINVE Bélgica octubre de 2025.docx
Brasil,2025,2,DOCX,infoinve-brasil-2025-02.docx,0,INFOINVE Brasil febrero de 2025.docx
Bulgaria,2025,2,DOCX,infoinve-bulgaria-2025-02.docx,0,INFOINVE Bulgaria febrero de 2025.docx
Bulgaria,2025,11,DOCX,infoinve-bulgaria-2025-11.docx,0,INFOINVE Bulgaria noviembre de 2025.docx
Canada,2025,5,DOCX,infoinve-canada-2025-05.docx,0,INFOINVE Canadá mayo de 2025.docx
Colombia,2025,3,DOCX,infoinve-colombia-2025-03.docx,0,INFOINVE COLOMBIA marzo de 2025.docx
Corea,2025,1,DOCX,infoinve-corea-2025-01.docx,0,INFOINVE COREA enero de 2025.docx
